"id","price","brand","model","year","mileage","color","state","country","title_status"
275,10300,ford,fiesta,2019,22881,gray,missouri, usa,clean vehicle
276,10300,chevrolet,door,2013,167600,gray,washington, usa,clean vehicle
277,7570,ford,door,2016,37252,white,texas, usa,clean vehicle
278,67000,dodge,challenger,2019,10944,blue,ohio, usa,clean vehicle
279,18900,chevrolet,impala,2019,27601,white,texas, usa,clean vehicle
280,12560,ford,doors,2019,15958,white,florida, usa,clean vehicle
281,33000,dodge,durango,2019,32251,white,ohio, usa,clean vehicle
282,18300,chevrolet,impala,2019,25809,black,texas, usa,clean vehicle
283,11760,ford,cab,2017,30553,white,texas, usa,clean vehicle
284,31700,dodge,durango,2019,26549,red,ohio, usa,clean vehicle
285,25,dodge,door,2007,160528,dark blue,minnesota, usa,salvage insurance
286,0,ford,door,2000,124969,black,oklahoma, usa,salvage insurance
287,7340,ford,doors,2019,15854,gray,florida, usa,clean vehicle
288,8200,hyundai,door,2017,56690,white,connecticut, usa,clean vehicle
289,3000,kia,door,2013,97142,silver,missouri, usa,clean vehicle
290,6530,jeep,mpv,2019,10185,black,georgia, usa,clean vehicle
291,0,mazda,door,2009,117541,gray,indiana, usa,salvage insurance
292,12700,kia,soul,2019,23514,silver,california, usa,clean vehicle
293,13800,kia,sorento,2017,86959,gray,north carolina, usa,clean vehicle
294,0,chevrolet,pickup,1998,258631,gray,texas, usa,salvage insurance
295,725,ford,door,2017,67279,gray,virginia, usa,salvage insurance
296,7400,ford,doors,2019,16482,gray,florida, usa,clean vehicle
297,9800,hyundai,elantra,2017,35687,red,connecticut, usa,clean vehicle
298,0,honda,door,2003,152608,white,arkansas, usa,salvage insurance
299,4400,jeep,mpv,2019,17911,green,georgia, usa,clean vehicle
300,10330,infiniti,mpv,2019,21278,blue,florida, usa,clean vehicle
301,1800,chevrolet,door,2011,47269,black,arkansas, usa,salvage insurance
302,50,chevrolet,door,2008,172102,blue,texas, usa,salvage insurance
303,720,ford,wagon,2006,26914,no_color,florida, usa,clean vehicle
304,22800,ford,door,2017,67217,red,michigan, usa,clean vehicle
305,2500,ford,door,2017,78698,black,california, usa,salvage insurance
306,0,ford,door,2003,246065,gold,kansas, usa,salvage insurance
307,9190,gmc,mpv,2017,41961,black,virginia, usa,clean vehicle
308,10900,jeep,mpv,2019,13273,red,michigan, usa,clean vehicle
309,10400,infiniti,mpv,2019,31713,black,florida, usa,clean vehicle
310,0,chevrolet,door,2004,0,maroon,wyoming, usa,salvage insurance
311,0,chevrolet,door,2003,194673,gray,texas, usa,salvage insurance
312,7320,chevrolet,pickup,2008,325611,silver,florida, usa,clean vehicle
313,22809,ford,f-150,2017,50732,black,michigan, usa,clean vehicle
314,0,ford,van,1998,186855,blue,california, usa,salvage insurance
315,0,ford,door,2013,94004,black,minnesota, usa,salvage insurance
316,5520,gmc,mpv,2017,52904,silver,virginia, usa,clean vehicle
317,10900,jeep,mpv,2019,14195,orange,michigan, usa,clean vehicle
318,6330,jeep,mpv,2019,43965,red,florida, usa,clean vehicle
319,0,chevrolet,door,2009,117059,black,colorado, usa,salvage insurance
320,25,chevrolet,pickup,2010,149189,white,colorado, usa,salvage insurance
321,2320,dodge,door,2007,112182,red,florida, usa,clean vehicle
322,23702,ford,door,2017,49024,black,michigan, usa,clean vehicle
323,0,ford,chassis,1994,0,green,california, usa,salvage insurance
324,0,ford,door,1997,203297,green,minnesota, usa,salvage insurance
325,5520,gmc,mpv,2017,35821,silver,virginia, usa,clean vehicle
326,4050,heartland,pioneer,2018,1,gray,pennsylvania, usa,clean vehicle
327,14810,infiniti,mpv,2019,32611,brown,florida, usa,clean vehicle
328,25,chevrolet,door,2011,105244,white,colorado, usa,salvage insurance
329,2960,chrysler,van,2008,164048,red,florida, usa,clean vehicle
330,24800,ford,door,2017,46955,gray,michigan, usa,clean vehicle
331,0,ford,door,1996,296860,green,california, usa,salvage insurance
332,0,ford,door,2006,203158,red,illinois, usa,salvage insurance
333,6270,gmc,mpv,2017,70443,black,virginia, usa,clean vehicle
334,1880,heartland,trail,2012,1,white,pennsylvania, usa,clean vehicle
335,10050,infiniti,mpv,2019,18229,gray,florida, usa,clean vehicle
336,225,chevrolet,door,2014,87673,red,colorado, usa,salvage insurance
337,26900,chevrolet,traverse,2018,42941,black,missouri, usa,clean vehicle
338,1420,chrysler,door,2007,104405,gold,florida, usa,clean vehicle
339,27003,ford,door,2017,57186,black,michigan, usa,clean vehicle
340,0,ford,door,2002,214800,black,south carolina, usa,salvage insurance
341,350,ford,door,2004,236980,gray,illinois, usa,salvage insurance
342,5600,gmc,mpv,2017,59808,black,virginia, usa,clean vehicle
343,6680,heartland,country,2011,1,gray,pennsylvania, usa,clean vehicle
344,10120,infiniti,mpv,2019,20681,white,florida, usa,clean vehicle
345,0,chevrolet,door,2010,137422,red,colorado, usa,salvage insurance
346,3920,ford,door,2015,102700,white,georgia, usa,clean vehicle
347,23100,ford,door,2017,53270,black,michigan, usa,clean vehicle
348,0,gmc,door,2004,235348,gold,south carolina, usa,salvage insurance
349,5630,gmc,mpv,2017,27195,black,virginia, usa,clean vehicle
350,0,heartland,sundance,2009,1,white,pennsylvania, usa,clean vehicle
351,2800,jaguar,doors,2019,20849,black,florida, usa,clean vehicle
352,0,chevrolet,door,2008,159266,gray,california, usa,salvage insurance
353,8850,ford,door,2015,143818,black,georgia, usa,clean vehicle
354,18712,ford,f-150,2017,67347,black,michigan, usa,clean vehicle
355,0,ford,pickup,2009,180364,blue,tennessee, usa,salvage insurance
356,0,ford,door,2009,184889,black,illinois, usa,salvage insurance
357,6300,gmc,mpv,2017,117400,blue,virginia, usa,clean vehicle
358,2220,heartland,country,2010,1,white,pennsylvania, usa,clean vehicle
359,6930,jeep,mpv,2019,47798,red,florida, usa,clean vehicle
360,25,chevrolet,door,2008,130623,white,california, usa,salvage insurance
361,3440,ford,door,2015,124542,white,georgia, usa,clean vehicle
362,50412,ford,door,2017,47129,black,michigan, usa,clean vehicle
363,25,ford,pickup,1994,206162,white,georgia, usa,salvage insurance
364,950,ford,pk,2001,229886,red,illinois, usa,salvage insurance
365,9270,gmc,mpv,2017,19490,gray,virginia, usa,clean vehicle
366,11380,jeep,mpv,2019,12038,black,michigan, usa,clean vehicle
367,5350,hyundai,mpv,2019,43536,blue,florida, usa,clean vehicle
368,2725,chevrolet,door,2004,308451,black,south carolina, usa,salvage insurance
369,3790,ford,door,2015,100893,gray,georgia, usa,clean vehicle
370,40514,ford,door,2017,90304,white,michigan, usa,clean vehicle
371,0,ford,door,1997,146912,green,wisconsin, usa,salvage insurance
372,0,ford,door,1998,131367,white,illinois, usa,salvage insurance
373,9190,gmc,mpv,2017,31394,gray,virginia, usa,clean vehicle
374,10330,infiniti,mpv,2019,25933,gray,florida, usa,clean vehicle
375,1000,acura,door,2008,118250,gray,michigan, usa,salvage insurance
376,2925,bmw,door,2013,46060,white,florida, usa,salvage insurance
377,3830,ford,door,2015,50593,gold,georgia, usa,clean vehicle
378,43402,ford,door,2017,62387,blue,michigan, usa,clean vehicle
379,1025,gmc,door,2009,169634,black,michigan, usa,salvage insurance
380,17200,honda,van,2016,72527,gray,new jersey, usa,clean vehicle
